SMILES,IE,EA,n_F,n_O
C[C@@H]1CSC[C@H](O)C1,6.186103716,0.59607904,0,1
CCc1cnc2cccc(CC)c2n1,6.418945742,2.50857277,0,0
Cc1cc2nccnc2cc1N,5.644710289,2.442721792,0,0
CN1C[C@@H](CSc2ccccc2)OC1=O,5.975405756,2.052935219,0,2
COc1cncc(OC)c1-c1ccncc1,6.287101695,2.155772707,0,2
C=Cc1cccc2c1C(=O)c1cc(C)ccc1C2=O,6.510508925,3.526986052,0,2
C1=Cc2c1c1cnccc1c1ccncc21,4.724720014,3.391719365,0,0
Cc1nccc(-c2ccncc2)c1C#N,7.259869318,2.799536342,0,0
c1ccc(-c2cc(-c3ccnc(-c4ccccc4)c3)ccn2)cc1,6.418185489,2.502342095,0,0
Cc1ccc(-c2ccccc2)s1,5.575047334,1.834878912,0,0
ClC(Cl)(Cl)c1cc(-c2ccnc(C(Cl)(Cl)Cl)c2)ccn1,7.568725273,2.947698164,0,0
ClC(Cl)(Cl)c1csc(C(Cl)(Cl)Cl)c1,7.009388243,4.190442707,0,0
CO[C@@]1(C)CCCSC1,6.074614622,0.49844125,0,1
Cc1cc(-c2ccncc2)c(C(=O)O)cn1,7.277319603,2.70211106,0,2
C=CC1(C)CCSCC1,6.144793831,0.475926429,0,0
C=C[C@@H]1CCS[C@H](C)C1,6.135780991,0.753201976,0,0
C=Cc1ccc(C=C)s1,5.553686784,2.341003925,0,0
COC1(OC)CCSCC1,5.917898817,0.694636131,0,2
C=Cc1ccc2c(c1)C(=O)c1cccc(C=C)c1C2=O,6.565834186,3.594510252,0,2
Fc1cc(-c2ccncc2)cc(F)n1,7.253500863,2.745882391,2,0
COc1cscc1C,5.818856999,0.599523963,0,1
C[C@]1([N+](=O)[O-])CCCSC1,6.412125693,3.013937323,0,2
CNc1sccc1C,4.786483213,0.717189639,0,0
CCc1ccsc1C,5.90293657,0.988299285,0,0
COc1cc2nccnc2cc1OC,6.115314025,2.53865004,0,2
C=C[C@H]1CSCC[C@H]1C,6.053203682,0.662524151,0,0
